person_id,paper_id
40046694,033275ccc2c7c5c38592ae893da0b5923cf90717
2066369448,033275ccc2c7c5c38592ae893da0b5923cf90717
1708906,033275ccc2c7c5c38592ae893da0b5923cf90717
9031926,033275ccc2c7c5c38592ae893da0b5923cf90717
1702139,033275ccc2c7c5c38592ae893da0b5923cf90717
2216703472,459cf4e6476d5e19f1bc422c162bcded54ca7f95
2790411,459cf4e6476d5e19f1bc422c162bcded54ca7f95
1716043,459cf4e6476d5e19f1bc422c162bcded54ca7f95
2044319,4340043a5a43f1863e080e3fc717f863ad21b51d
1968180,1a85628dd645ea86b7c146613651fdb30bb32c1d
2772109,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
144007515,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
35003282,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
2059572334,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
145479025,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
144171096,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
2434366,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
2516234,59078a26c42e8609244f1c3e01f05af74a3773bf
48035814,59078a26c42e8609244f1c3e01f05af74a3773bf
2573120,59078a26c42e8609244f1c3e01f05af74a3773bf
2073559355,59078a26c42e8609244f1c3e01f05af74a3773bf
2919642,1cbbe1a129c0d1f53d8e16ca74238334372507dc
2180167644,1cbbe1a129c0d1f53d8e16ca74238334372507dc
2124626283,1cbbe1a129c0d1f53d8e16ca74238334372507dc
25003800,1cbbe1a129c0d1f53d8e16ca74238334372507dc
2134146,1cbbe1a129c0d1f53d8e16ca74238334372507dc
18356904,1cbbe1a129c0d1f53d8e16ca74238334372507dc
15022199,1cbbe1a129c0d1f53d8e16ca74238334372507dc
1713648,1cbbe1a129c0d1f53d8e16ca74238334372507dc
2121691833,86e9b0585c8b866665de18b2744d69aefff3e16d
2121692012,86e9b0585c8b866665de18b2744d69aefff3e16d
2121692039,86e9b0585c8b866665de18b2744d69aefff3e16d
2121701124,86e9b0585c8b866665de18b2744d69aefff3e16d
2070105034,86e9b0585c8b866665de18b2744d69aefff3e16d
1403702365,a20e707395132f750fa958ebc0ea629b23b57bfe
144416706,a20e707395132f750fa958ebc0ea629b23b57bfe
1401234110,a20e707395132f750fa958ebc0ea629b23b57bfe
1809608,d852660e15e82ae150dcde105639ba2c7d90f01f
1736546,d852660e15e82ae150dcde105639ba2c7d90f01f
40977242,703d49a335799262e474ed8fe6044cd641a9e00a
1714025,703d49a335799262e474ed8fe6044cd641a9e00a
2772109,2d95c27d4ed8cfb8379164888cd79c6b239250b4
144245703,2d95c27d4ed8cfb8379164888cd79c6b239250b4
1777646,2d95c27d4ed8cfb8379164888cd79c6b239250b4
144658846,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
144768011,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
1703204,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
151121638,06424dcd3be195738b653d2ee4358d9974f4cb30
2110490847,06424dcd3be195738b653d2ee4358d9974f4cb30
2238861,06424dcd3be195738b653d2ee4358d9974f4cb30
1684751,06424dcd3be195738b653d2ee4358d9974f4cb30
3255268,06424dcd3be195738b653d2ee4358d9974f4cb30
2064791867,bcca5c7e9180c4890936343d79e812cb16cbefb6
1716043,bcca5c7e9180c4890936343d79e812cb16cbefb6
1419556433,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
51228791,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
2109461904,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
2728740,c858ba9bce833896b49878a6793dbb382ed83c9e
103774486,f3e765ca2b8c4191759b141d2e5c42215ed9090d
1740822681,f3e765ca2b8c4191759b141d2e5c42215ed9090d
3019341,f3e765ca2b8c4191759b141d2e5c42215ed9090d
2919642,689c7a86d973895a14feb984b8faa3d5581038ef
13290587,689c7a86d973895a14feb984b8faa3d5581038ef
3308719,689c7a86d973895a14feb984b8faa3d5581038ef
2125673249,689c7a86d973895a14feb984b8faa3d5581038ef
18356904,689c7a86d973895a14feb984b8faa3d5581038ef
3188030,689c7a86d973895a14feb984b8faa3d5581038ef
144641551,689c7a86d973895a14feb984b8faa3d5581038ef
1713648,689c7a86d973895a14feb984b8faa3d5581038ef
1699192,44ec06d911eed44ee99be61bd9ce964a824a2ed7
144329188,44ec06d911eed44ee99be61bd9ce964a824a2ed7
49061836,44ec06d911eed44ee99be61bd9ce964a824a2ed7
2058740,44ec06d911eed44ee99be61bd9ce964a824a2ed7
71636032,44ec06d911eed44ee99be61bd9ce964a824a2ed7
143842962,44ec06d911eed44ee99be61bd9ce964a824a2ed7
2271992963,8afa626901e6b77b3936b8eb64df4a5a538444a0
2478931,6ea38aacc779506909d425aa19114b92bb1854f8
144750678,6ea38aacc779506909d425aa19114b92bb1854f8
9083969,6ea38aacc779506909d425aa19114b92bb1854f8
2772109,59f1df2f60280eea79d195b9c561d52a77fb24de
144658846,59f1df2f60280eea79d195b9c561d52a77fb24de
35106192,59f1df2f60280eea79d195b9c561d52a77fb24de
144007515,59f1df2f60280eea79d195b9c561d52a77fb24de
2478931,59f1df2f60280eea79d195b9c561d52a77fb24de
2434366,59f1df2f60280eea79d195b9c561d52a77fb24de
150349792,1d0d84a1f4e8de75151d88bd152816f18109d032
2198707,1d0d84a1f4e8de75151d88bd152816f18109d032
31435894,6e87f544017f73670c44d9d0856340a289ff9e38
1794160,6e87f544017f73670c44d9d0856340a289ff9e38
2054073851,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85
145070630,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85
49061836,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
2454799,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
1681226,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
31846192,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
1894887,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
2748632,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
144153647,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
2341999,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
143842962,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
2066074494,c867c372ed78e27c53feaf788e74aa7506302bbe
39064908,c867c372ed78e27c53feaf788e74aa7506302bbe
1716043,c867c372ed78e27c53feaf788e74aa7506302bbe
144245703,d154d986c3a402c207c6c0e22093f2e1a878fe71
22573315,d154d986c3a402c207c6c0e22093f2e1a878fe71
144568027,d154d986c3a402c207c6c0e22093f2e1a878fe71
145044578,d154d986c3a402c207c6c0e22093f2e1a878fe71
48528884,2be77516f6233a9d3ebbf93b439c3658d955d2e5
1897202,2be77516f6233a9d3ebbf93b439c3658d955d2e5
1743774,2be77516f6233a9d3ebbf93b439c3658d955d2e5
1696394,2be77516f6233a9d3ebbf93b439c3658d955d2e5
2065468132,2be77516f6233a9d3ebbf93b439c3658d955d2e5
52561170,3876267a762615ac876df561b900aa6e564fc9b4
2220934,3876267a762615ac876df561b900aa6e564fc9b4
2922951,3876267a762615ac876df561b900aa6e564fc9b4
2335456,1f4bee77bb69b92dd16ce0c3ad0f477f4ecf1d30
